air_waybill_number;date_of_sale;date_of_flight;flight_number;cargo_transportation_route;physical_weight;volume;volume_weight;paid_weight;currency_of_sale;air_fare;air_fare_1;rfs;rfs_1;total_amount;agency_commission;agency_commission_1;fees_total;myc;myc_1;type_of_cargo;transfer_point;product_code;additional_product_code;shc_code;inn;kpp;note;the_counterparty_to_the_inn_from_fwb
555-08530524;09.04.2025;09.04.2025;SU-1715;KHV-OMS;215,00;0,36;60,00;215,00;RUB;187,00;40205,00;0,00;0,00;40878,50;24,00;24,00;673,50;0,00;0,00;PROBYGRUNTA;SVO;100;;;2722041218;272201001;;"ООО""АВИА-КАРГОАГЕНТ"""
555-08530045;08.04.2025;09.04.2025;HZ-5616;VVO-PKC;204,00;1,47;245,00;245,00;RUB;163,00;39935,00;0,00;0,00;40695,50;24,00;24,00;760,50;0,00;0,00;CVETI;;450;;PEF;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530550;08.04.2025;09.04.2025;HZ-5600;VVO-OVB;4,00;0,03;5,00;25,00;RUB;176,00;4400,00;0,00;0,00;4522,50;24,00;24,00;122,50;0,00;0,00;CV-URNASPR;KHV;430;;HUM;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530701;10.04.2025;10.04.2025;FV-6902;VVO-SVO;596,00;1,42;236,67;596,00;RUB;119,00;70924,00;0,00;0,00;72702,40;24,00;24,00;1778,40;0,00;0,00;OBORUDTERM;KJA;100;;;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79767100;10.04.2025;11.04.2025;SU-5805;VVO-SVO;537,00;4,15;691,67;692,00;RUB;160,00;110720,00;0,00;0,00;112776,80;24,00;24,00;2056,80;0,00;0,00;TNP;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593100;10.04.2025;11.04.2025;SU-5805;VVO-SVO;489,00;4,12;686,67;687,00;RUB;142,00;97554,00;0,00;0,00;99596,30;24,00;24,00;2042,30;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-94593111;10.04.2025;11.04.2025;SU-5805;VVO-SVO;545,00;4,20;700,00;700,00;RUB;142,00;99400,00;0,00;0,00;101480,00;24,00;24,00;2080,00;0,00;0,00;TNP;;510;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530303;09.04.2025;11.04.2025;SU-5803;VVO-SVO;1580,00;15,30;2550,00;2550,00;RUB;177,00;451350,00;0,00;0,00;458795,00;24,00;24,00;7445,00;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-08530642;09.04.2025;11.04.2025;SU-5803;VVO-SVO;1085,00;11,00;1833,33;1833,50;RUB;177,00;324529,50;0,00;0,00;329896,65;24,00;24,00;5367,15;0,00;0,00;E-COM;;101;;ELI;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766750;06.04.2025;07.04.2025;SU-1701;VVO-SVO;3,00;0,03;5,00;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;BIOLOGICHESKOE;;520;;SHL;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
555-79766886;01.04.2025;02.04.2025;SU-1701;VVO-SVO;9,00;0,04;6,67;25,00;RUB;160,00;4000,00;0,00;0,00;4122,50;24,00;24,00;122,50;0,00;0,00;OBOI;;520;;XPS;2502045954;250201001;;"ООО""АВИА-КАРГОЛогистик"""
